"N","Time","avg(f)","max(Y)"
1,23.569,141.43,241.5
1,23.618,139.93,241.5
1,23.667,138.53,241.5
1,23.716,137.23,241.5
1,23.765,136.01,241.5
1,23.814,148.69,241.5
1,23.863,146.56,241.5
1,23.912,144.61,241.5
1,23.961,142.89,241.5
1,24.01,141.36,241.5
1,24.059,139.94,241.5
1,24.108,138.62,241.5
1,24.157,137.39,241.5
1,24.206,142.45,241.5
1,24.255,141.16,241.5
1,24.304,139.85,241.5
1,24.353,138.57,241.5
1,24.402,137.36,241.5
1,24.451,136.21,241.5
1,24.5,135.14,241.5
1,24.549,134.14,241.5
1,24.598,138.38,241.5
1,24.647,136.74,241.5
1,24.696,135.39,241.5
1,24.745,134.23,241.5
1,24.794,133.22,241.5
1,24.843,132.19,241.5
1,24.892,131.49,241.5
1,24.941,130.82,241.5
1,24.99,143.29,241.5
1,25.039,141.42,241.5
1,25.088,139.81,241.5
1,25.137,138.39,241.5
1,25.186,137.11,241.5
1,25.235,140.58,241.5
1,25.284,139.6,241.5
1,25.333,138.54,241.5
1,25.382,144.36,241.5
1,25.431,142.18,241.5
1,25.48,140.41,241.5
1,25.529,138.92,241.5
1,25.578,137.62,241.5
1,25.627,136.05,241.5
1,25.676,135.36,241.5
1,25.725,134.64,241.5
1,25.774,146.86,241.5
1,25.823,144.9,241.5
1,25.872,143.2,241.5
1,25.921,141.69,241.5
1,25.97,140.32,241.5
1,26.019,142.17,241.5
1,26.068,140.99,241.5
1,26.117,139.86,241.5
1,26.166,138.44,241.5
1,26.215,137.71,241.5
1,26.264,136.96,241.5
1,26.313,136.21,241.5
1,26.362,135.48,241.5
1,26.411,143.44,241.5
1,26.46,141.35,241.5
1,26.509,139.69,241.5
1,26.558,141.32,241.5
1,26.607,140.12,241.5
1,26.656,139.01,241.5
1,26.705,138,241.5
1,26.754,137.06,241.5
1,26.803,148.75,241.5
1,26.852,146.51,241.5
1,26.901,144.62,241.5
1,26.95,145.97,241.5
1,26.999,144.26,241.5
1,27.048,142.78,241.5
1,27.097,141.46,241.5
1,27.146,140.28,241.5
1,27.195,151.81,241.5
1,27.244,148.9,241.5
1,27.293,146.56,241.5
1,27.342,146,241.5
1,27.391,144.47,241.5
1,27.44,143.07,241.5
1,27.489,141.8,241.5
1,27.538,140.63,241.5
1,27.587,151.84,241.5
1,27.636,149.37,241.5
1,27.685,147.3,241.5
1,27.734,145.52,241.5
1,27.783,143.96,241.5
1,27.832,142.58,241.5
1,27.881,141.34,241.5
1,27.93,140.23,241.5
1,27.979,139.15,241.5
1,28.028,138.32,241.5
1,28.077,137.52,241.5
1,28.126,136.77,241.5
1,28.175,136.06,241.5
1,28.224,135.38,241.5
1,28.273,134.75,241.5
1,28.322,134.16,241.5
1,28.371,144.84,241.5
1,28.42,143.23,241.5
1,28.469,141.86,241.5
1,28.518,140.64,241.5
1,28.567,139.56,241.5
1,28.616,142.77,241.5
1,28.665,141.61,241.5
1,28.714,140.56,241.5
1,28.763,139.18,241.5
1,28.812,138.99,241.5
1,28.861,138.6,241.5
1,28.91,138.1,241.5
1,28.959,137.55,241.5
1,29.008,137.04,241.5
1,29.057,136.54,241.5
1,29.106,136.03,241.5
1,29.155,146.53,241.5
1,29.204,144.98,241.5
1,29.253,143.64,241.5
1,29.302,142.47,241.5
1,29.351,141.42,241.5
1,29.4,144.54,241.5
1,29.449,143.4,241.5
1,29.498,142.37,241.5
1,29.547,141.3,241.5
1,29.596,140.74,241.5
1,29.645,140.13,241.5
1,29.694,139.49,241.5
1,29.743,138.85,241.5
1,29.792,138.14,241.5
1,29.841,137.72,241.5
1,29.89,137.28,241.5
1,29.939,140.71,241.5
1,29.988,140,241.5
1,30.037,139.33,241.5
1,30.086,138.69,241.5
1,30.135,138.08,241.5
1,30.184,147.98,241.5
1,30.233,146.41,241.5
1,30.282,145.06,241.5
1,30.331,143.82,241.5
1,30.38,142.82,241.5
1,30.429,141.92,241.5
1,30.478,141.09,241.5
1,30.527,140.33,241.5
1,30.576,139.72,241.5
1,30.625,139.48,241.5
1,30.674,139.14,241.5
1,30.723,142.38,241.5
1,30.772,141.94,241.5
1,30.821,141.39,241.5
1,30.87,140.79,241.5
1,30.919,140.17,241.5
1,30.968,149.66,241.5
1,31.017,148.11,241.5
1,31.066,146.75,241.5
1,31.115,145.55,241.5
1,31.164,144.47,241.5
1,31.213,143.49,241.5
1,31.262,142.6,241.5
1,31.311,141.78,241.5
1,31.36,141.15,241.5
1,31.409,140.35,241.5
1,31.458,139.66,241.5
1,31.507,139.03,241.5
1,31.556,138.46,241.5
1,31.605,137.94,241.5
1,31.654,137.44,241.5
1,31.703,136.98,241.5
1,31.752,145.81,241.5
1,31.801,144.5,241.5
1,31.85,143.35,241.5
1,31.899,142.33,241.5
1,31.948,141.42,241.5
1,31.997,142.85,241.5
1,32.046,141.89,241.5
1,32.095,141.06,241.5
1,32.144,144.8,241.5
1,32.193,143.91,241.5
1,32.242,143.04,241.5
1,32.291,142.2,241.5
1,32.34,141.41,241.5
1,32.389,140.44,241.5
1,32.438,140.05,241.5
1,32.487,139.6,241.5
1,32.536,148.11,241.5
1,32.585,146.94,241.5
1,32.634,145.84,241.5
1,32.683,144.81,241.5
1,32.732,143.85,241.5
1,32.781,146.32,241.5
1,32.83,145.24,241.5
1,32.879,144.26,241.5
1,32.928,147.41,241.5
1,32.977,146.44,241.5
1,33.026,145.48,241.5
1,33.075,144.54,241.5
1,33.124,143.66,241.5
1,33.173,142.73,241.5
1,33.222,142.18,241.5
1,33.271,141.61,241.5
1,33.32,144.26,241.5
1,33.369,143.45,241.5
1,33.418,142.69,241.5
1,33.467,141.99,241.5
1,33.516,141.33,241.5
1,33.565,149.13,241.5
1,33.614,147.88,241.5
1,33.663,146.74,241.5
1,33.712,145.56,241.5
1,33.761,144.82,241.5
1,33.81,144.07,241.5
1,33.859,143.34,241.5
1,33.908,142.63,241.5
1,33.957,145.75,241.5
1,34.006,144.97,241.5
1,34.055,144.18,241.5
1,34.104,146.51,241.5
1,34.153,145.55,241.5
1,34.202,144.66,241.5
1,34.251,143.84,241.5
1,34.3,143.07,241.5
1,34.349,150.42,241.5
1,34.398,149.13,241.5
1,34.447,147.94,241.5
1,34.496,146.97,241.5
1,34.545,145.89,241.5
1,34.594,144.94,241.5
1,34.643,144.09,241.5
1,34.692,143.32,241.5
1,34.741,144.52,241.5
1,34.79,144.02,241.5
1,34.839,143.43,241.5
1,34.888,142.82,241.5
1,34.937,142.22,241.5
1,34.986,141.63,241.5
1,35.035,141.07,241.5
1,35.084,140.54,241.5
1,35.133,143.94,241.5
1,35.182,142.89,241.5
1,35.231,142.03,241.5
1,35.28,141.31,241.5
1,35.329,140.68,241.5
1,35.378,140.04,241.5
1,35.427,139.6,241.5
1,35.476,139.17,241.5
1,35.525,146.2,241.5
1,35.574,145.08,241.5
1,35.623,144.12,241.5
1,35.672,143.26,241.5
1,35.721,142.49,241.5
1,35.77,144.42,241.5
1,35.819,143.79,241.5
1,35.868,143.14,241.5
1,35.917,148.17,241.5
1,35.966,146.62,241.5
1,36.015,145.38,241.5
1,36.064,144.34,241.5
1,36.113,143.44,241.5
1,36.162,142.41,241.5
1,36.211,141.9,241.5
1,36.26,141.39,241.5
1,36.309,148.14,241.5
1,36.358,146.79,241.5
1,36.407,145.65,241.5
1,36.456,144.67,241.5
1,36.505,143.79,241.5
1,36.554,144.73,241.5
1,36.603,143.97,241.5
1,36.652,143.27,241.5
1,36.701,142.36,241.5
1,36.75,141.95,241.5
1,36.799,141.5,241.5
1,36.848,141.05,241.5
1,36.897,140.61,241.5
1,36.946,147.09,241.5
1,36.995,145.63,241.5
1,37.044,144.45,241.5
1,37.093,145.11,241.5
1,37.142,144.21,241.5
1,37.191,143.41,241.5
1,37.24,142.69,241.5
1,37.289,142.03,241.5
1,37.338,148.14,241.5
1,37.387,146.77,241.5
1,37.436,145.63,241.5
1,37.485,146.21,241.5
1,37.534,145.21,241.5
1,37.583,144.35,241.5
1,37.632,143.59,241.5
1,37.681,142.91,241.5
1,37.73,148.82,241.5
1,37.779,147.29,241.5
1,37.828,146.05,241.5
1,37.877,144.86,241.5
1,37.926,144.16,241.5
1,37.975,143.5,241.5
1,38.024,142.88,241.5
1,38.073,142.3,241.5
1,38.122,148.04,241.5
1,38.171,146.78,241.5
1,38.22,145.72,241.5
1,38.269,144.79,241.5
1,38.318,143.98,241.5
1,38.367,143.26,241.5
1,38.416,142.6,241.5
1,38.465,142,241.5
1,38.514,141.36,241.5
1,38.563,140.99,241.5
1,38.612,140.61,241.5
1,38.661,140.23,241.5
1,38.71,139.87,241.5
1,38.759,139.51,241.5
1,38.808,139.17,241.5
1,38.857,138.84,241.5
1,38.906,144.09,241.5
1,38.955,143.26,241.5
1,39.004,142.53,241.5
1,39.053,141.9,241.5
1,39.102,141.32,241.5
1,39.151,142.83,241.5
1,39.2,142.23,241.5
1,39.249,141.68,241.5
